Extracted from emacs with M-x describe-input-method.
!`	¡
--	–
?`	¿
\ 	 
\"	̈
\'	́
\,	 
\-	­
\.	̇
\/	‌
\:	 
\;	 
\=	̄
\H	̋
\L	Ł
\O	Ø
\P	¶
\S	§
\^	̂
\`	̀
\b	̱
\c	̧
\d	̣
\i	ı
\k	̨
\l	ł
\o	ø
\u	̆
\v	̌
\~	̃
^(	⁽
^)	⁾
^+	⁺
^-	⁻
^0	⁰
^1	¹
^2	²
^3	³
^4	⁴
^5	⁵
^6	⁶
^7	⁷
^8	⁸
^9	⁹
^=	⁼
^A	ᴬ
^B	ᴮ
^D	ᴰ
^E	ᴱ
^G	ᴳ
^H	ᴴ
^I	ᴵ
^J	ᴶ
^K	ᴷ
^L	ᴸ
^M	ᴹ
^N	ᴺ
^O	ᴼ
^P	ᴾ
^R	ᴿ
^T	ᵀ
^U	ᵁ
^V	ⱽ
^W	ᵂ
^a	ᵃ
^b	ᵇ
^c	ᶜ
^d	ᵈ
^e	ᵉ
^f	ᶠ
^g	ᵍ
^h	ʰ
^i	ⁱ
^j	ʲ
^k	ᵏ
^l	ˡ
^m	ᵐ
^n	ⁿ
^o	ᵒ
^p	ᵖ
^r	ʳ
^s	ˢ
^t	ᵗ
^u	ᵘ
^v	ᵛ
^w	ʷ
^x	ˣ
^y	ʸ
^z	ᶻ
_(	₍
_)	₎
_+	₊
_-	₋
_0	₀
_1	₁
_2	₂
_3	₃
_4	₄
_5	₅
_6	₆
_7	₇
_8	₈
_9	₉
_=	₌
_a	ₐ
_e	ₑ
_h	ₕ
_i	ᵢ
_j	ⱼ
_k	ₖ
_l	ₗ
_m	ₘ
_n	ₙ
_o	ₒ
_p	ₚ
_r	ᵣ
_s	ₛ
_t	ₜ
_u	ᵤ
_v	ᵥ
_x	ₓ
---	—
\"'	“
\"<	«
\">	»
\"A	Ä
\"E	Ë
\"H	Ḧ
\"I	Ï
\"O	Ö
\"U	Ü
\"W	Ẅ
\"X	Ẍ
\"Y	Ÿ
\"`	„
\"a	ä
\"e	ë
\"h	ḧ
\"i	ï
\"o	ö
\"t	ẗ
\"u	ü
\"w	ẅ
\"x	ẍ
\"y	ÿ
\'A	Á
\'C	Ć
\'E	É
\'G	Ǵ
\'I	Í
\'K	Ḱ
\'L	Ĺ
\'M	Ḿ
\'N	Ń
\'O	Ó
\'P	Ṕ
\'R	Ŕ
\'S	Ś
\'U	Ú
\'W	Ẃ
\'Y	Ý
\'Z	Ź
\'a	á
\'c	ć
\'e	é
\'g	ǵ
\'i	í
\'k	ḱ
\'l	ĺ
\'m	ḿ
\'n	ń
\'o	ó
\'p	ṕ
\'r	ŕ
\'s	ś
\'u	ú
\'w	ẃ
\'y	ý
\'z	ź
\.A	Ȧ
\.B	Ḃ
\.C	Ċ
\.D	Ḋ
\.E	Ė
\.F	Ḟ
\.G	Ġ
\.H	Ḣ
\.I	İ
\.M	Ṁ
\.N	Ṅ
\.O	Ȯ
\.P	Ṗ
\.R	Ṙ
\.S	Ṡ
\.T	Ṫ
\.W	Ẇ
\.X	Ẋ
\.Y	Ẏ
\.Z	Ż
\.a	ȧ
\.b	ḃ
\.c	ċ
\.d	ḋ
